age,avgmonthlygbdownload,avgmonthlylongdistancecharges,cltv,churncategory,churnreason,churnscore,churn,city,contract,dependents,deviceprotection,internetservice,latitude,longitude,monthlycharges,multiplelines,numberofreferrals,onlinebackup,onlinesecurity,paperlessbilling,partner,paymentmethod,phoneservice,population,referredafriend,satisfactionscore,seniorcitizen,streamingmusic,streamingmovies,streamingtv,techsupport,totalextradatacharges,totallongdistancecharges,totalrefunds,totalrevenue,totalcharges,unlimiteddata,zipcode,customerid,gender,tenure
25,59,16.01,6252,No Churn,No Churn,52,No,Sunnyvale,Two year,Yes,Yes,Fiber optic,37.378541,-122.020456,116.8,Yes,2,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,64010,1,3,0,1,Yes,Yes,Yes,0,1152.72,0.0,9609.47,8456.75,1,94086,0017-IUDMW,Female,72
58,10,18.65,5536,No Churn,No Churn,57,No,Antelope,Month-to-month,No,No,Fiber optic,38.715498,-121.363411,68.95,No,0,No,No,Yes,Yes,Electronic check,Yes,36432,0,3,0,0,No,No,No,0,93.25,0.0,444.75,351.5,1,95843,0018-NYROU,Female,5
32,16,2.25,5513,No Churn,No Churn,53,No,La Mesa,Two year,No,Yes,Fiber optic,32.782501,-117.01611,101.3,Yes,0,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,24005,0,3,0,0,No,Yes,No,0,162.0,0.0,7423.25,7261.25,1,91942,0019-EFAEP,Female,72
39,19,0.0,5795,No Churn,No Churn,37,No,Los Olivos,Two year,No,Yes,DSL,34.70434,-120.02609,45.05,No phone service,0,Yes,Yes,No,No,Bank transfer (automatic),No,1317,0,3,0,0,No,No,Yes,0,0.0,0.0,2560.1,2560.1,1,93441,0019-GFNTW,Female,56
58,12,27.26,4865,No Churn,No Churn,26,No,Woodlake,Two year,Yes,Yes,Fiber optic,36.464635,-119.094348,95.75,Yes,9,Yes,No,Yes,Yes,Credit card (automatic),Yes,8870,1,5,0,1,Yes,No,No,0,1935.46,0.0,8784.86,6849.4,1,93286,0020-INWCK,Female,71
52,20,0.0,3607,No Churn,No Churn,37,No,Point Reyes Station,One year,Yes,Yes,DSL,38.060264,-122.830646,61.25,No phone service,0,No,Yes,No,Yes,Mailed check,No,1885,0,4,0,1,Yes,Yes,Yes,0,0.0,0.0,1993.2,1993.2,1,94956,0020-JDNXP,Female,34
72,22,7.77,4432,No Churn,No Churn,50,No,San Marcos,Month-to-month,No,No,Fiber optic,33.119028,-117.166036,72.1,Yes,0,No,No,Yes,No,Electronic check,Yes,6760,0,4,1,0,No,No,No,0,7.77,0.0,79.87,72.1,1,92078,0021-IKXGC,Female,1
79,17,10.67,2654,Dissatisfaction,Limited range of services,92,Yes,Daly City,One year,No,Yes,DSL,37.680844,-122.48131,62.7,No,0,No,Yes,No,No,Credit card (automatic),Yes,63337,0,1,1,0,Yes,No,No,0,480.15,0.0,3271.65,2791.5,1,94015,0022-TCJCI,Male,45
67,9,0.0,5437,Competitor,Competitor made better offer,85,Yes,Morgan Hill,Month-to-month,No,No,DSL,37.161544,-121.649371,25.1,No phone service,0,No,No,Yes,No,Electronic check,No,41707,0,3,1,0,No,No,No,0,0.0,0.0,25.1,25.1,1,95037,0023-HGHWL,Male,1
79,0,31.43,4015,No Churn,No Churn,61,No,Ahwahnee,One year,No,No internet service,No,37.375816,-119.739935,25.2,Yes,0,No internet service,No internet service,No,Yes,Electronic check,Yes,1968,0,3,1,0,No internet service,No internet service,No internet service,0,1571.5,0.0,2877.8,1306.3,0,93601,0023-UYUPN,Female,50
26,52,43.56,2973,Other,Don't know,75,Yes,Carnelian Bay,Month-to-month,No,Yes,Fiber optic,39.227434,-120.091806,94.1,Yes,1,Yes,No,No,Yes,Electronic check,Yes,1943,1,1,0,0,No,Yes,No,0,566.28,0.0,1781.88,1215.6,1,96140,0023-XUOPT,Female,13
30,30,34.91,3585,No Churn,No Churn,78,No,Alpaugh,Month-to-month,Yes,No,Fiber optic,35.869626,-119.498771,83.75,Yes,1,No,No,Yes,Yes,Electronic check,Yes,1054,1,4,0,0,No,Yes,No,0,802.93,0.0,2652.88,1849.95,1,93201,0027-KWYKW,Female,23
22,0,3.12,5634,No Churn,No Churn,59,No,Keeler,Month-to-month,No,No internet service,No,36.560498,-117.962461,19.85,No,0,No internet service,No internet service,No,No,Mailed check,Yes,71,0,4,0,0,No internet service,No internet service,No internet service,0,9.36,0.0,66.56,57.2,0,93530,0030-FNXPP,Female,3
34,0,12.43,4133,Price,Long distance charges,81,Yes,Korbel,Month-to-month,Yes,No internet service,No,40.7666,-123.80458,20.35,No,0,No internet service,No internet service,No,Yes,Mailed check,Yes,155,0,1,0,0,No internet service,No internet service,No internet service,0,49.72,0.0,126.07,76.35,0,95550,0031-PVLZI,Female,4
37,19,0.0,5171,Attitude,Attitude of service provider,74,Yes,Palomar Mountain,Month-to-month,Yes,No,DSL,33.309852,-116.823091,30.5,No phone service,1,No,Yes,No,Yes,Bank transfer (automatic),No,234,1,1,0,0,No,No,No,0,0.0,0.0,30.5,30.5,1,92060,0032-PGELS,Female,1
37,57,35.04,5892,No Churn,No Churn,65,No,Parlier,One year,Yes,Yes,Fiber optic,36.622237,-119.521126,103.7,No,10,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,12587,1,3,0,1,Yes,Yes,Yes,20,1927.2,0.0,7603.95,5656.75,0,93648,0036-IHMOT,Female,55
42,0,19.7,6393,No Churn,No Churn,60,No,Modesto,Two year,Yes,No internet service,No,37.612612,-121.108568,20.4,No,3,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,30668,1,4,0,0,No internet service,No internet service,No internet service,0,1063.8,0.0,2154.4,1090.6,0,95358,0040-HALCW,Male,54
64,0,37.7,3722,No Churn,No Churn,26,No,Glen Ellen,One year,No,No internet service,No,38.368744,-122.522642,19.6,No,0,No internet service,No internet service,Yes,No,Bank transfer (automatic),Yes,4101,0,4,0,0,No internet service,No internet service,No internet service,0,980.2,21.25,1430.8,471.85,0,95442,0042-JVWOJ,Male,26
47,0,38.39,4131,No Churn,No Churn,76,No,Eureka,Two year,Yes,No internet service,No,40.737431,-124.108897,19.7,No,5,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,23570,1,5,0,0,No internet service,No internet service,No internet service,0,2648.91,0.0,4045.81,1396.9,0,95503,0042-RLHYP,Female,69
23,51,43.01,5263,No Churn,No Churn,55,No,Moss Beach,One year,Yes,No,Fiber optic,37.515556,-122.502311,91.2,No,1,No,No,No,Yes,Credit card (automatic),Yes,3064,1,5,0,1,Yes,Yes,No,0,1591.37,0.0,4838.92,3247.55,1,94038,0048-LUMLS,Male,37
48,0,49.58,6061,No Churn,No Churn,20,No,Los Angeles,One year,No,No internet service,No,34.001617,-118.222274,20.45,No,5,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,3642,1,3,0,0,No internet service,No internet service,No internet service,0,2429.42,0.0,3330.32,900.9,0,90058,0048-PIHNL,Female,49
28,41,43.77,5845,No Churn,No Churn,42,No,Los Angeles,One year,No,Yes,Fiber optic,34.044271,-118.185237,115.8,Yes,9,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,55668,1,3,0,1,Yes,Yes,Yes,0,2888.82,0.0,10830.97,7942.15,1,90063,0052-DCKON,Male,66
28,0,23.12,5462,No Churn,No Churn,72,No,Calexico,One year,No,No internet service,No,32.690654,-115.431225,20.55,No,0,No internet service,No internet service,No,No,Electronic check,Yes,27804,0,5,0,0,No internet service,No internet service,No internet service,0,1549.04,30.53,2861.91,1343.4,0,92231,0052-YNYOT,Female,67
33,22,0.0,3899,No Churn,No Churn,29,No,Redding,Two year,Yes,Yes,DSL,40.677649,-122.29467,39.4,No phone service,4,No,Yes,Yes,Yes,Credit card (automatic),No,41476,1,3,0,0,No,No,Yes,0,0.0,0.0,825.4,825.4,1,96003,0056-EPFBG,Male,20
31,0,30.64,4797,No Churn,No Churn,59,No,San Martin,Two year,Yes,No internet service,No,37.084697,-121.606417,25.1,Yes,0,No internet service,No internet service,Yes,No,Electronic check,Yes,5671,0,4,0,0,No internet service,No internet service,No internet service,0,1317.52,0.0,2387.67,1070.15,0,95046,0057-QBUQH,Female,43
37,9,5.08,5875,No Churn,No Churn,42,No,Stockton,Month-to-month,No,No,Fiber optic,38.044523,-121.348048,89.8,Yes,2,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,30814,1,3,0,0,No,Yes,No,0,279.4,0.0,5239.0,4959.6,1,95209,0058-EVZWM,Female,55
60,14,16.39,5238,No Churn,No Churn,26,No,Los Angeles,Month-to-month,No,No,Fiber optic,33.964131,-118.272783,94.75,Yes,4,Yes,Yes,Yes,Yes,Electronic check,Yes,58198,1,3,0,0,No,Yes,No,0,967.01,0.0,6564.66,5597.65,1,90003,0060-FUALY,Female,59
48,0,19.28,5190,No Churn,No Churn,57,No,Huntington Park,Two year,Yes,No internet service,No,33.97803,-118.217141,20.3,No,3,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,78114,1,5,0,0,No internet service,No internet service,No internet service,0,231.36,0.0,455.86,224.5,0,90255,0064-SUDOG,Female,12
60,23,25.26,4994,No Churn,No Churn,46,No,Yermo,Month-to-month,Yes,No,Fiber optic,35.013299,-116.834092,75.75,Yes,7,No,No,Yes,Yes,Bank transfer (automatic),Yes,1195,1,3,0,0,No,No,No,0,682.02,0.0,2611.02,1929.0,1,92398,0064-YIJGF,Male,27
69,27,43.99,3475,Competitor,Competitor made better offer,95,Yes,San Diego,Month-to-month,No,No,DSL,32.961064,-117.134917,49.25,No,0,No,Yes,Yes,No,Electronic check,Yes,47224,0,2,1,0,No,No,No,0,87.98,0.0,179.08,91.1,1,92129,0067-DKWBL,Male,2
20,59,48.91,2297,No Churn,No Churn,54,No,Fremont,One year,No,Yes,DSL,37.516791,-121.899117,78.2,No,0,Yes,No,No,No,Mailed check,Yes,46917,0,3,0,1,Yes,Yes,Yes,0,1320.57,0.0,3399.52,2078.95,1,94539,0068-FIGTF,Female,27
31,0,23.69,5230,No Churn,No Churn,65,No,Santa Rosa,Two year,Yes,No internet service,No,38.439696,-122.668817,25.5,Yes,1,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,22250,1,3,0,0,No internet service,No internet service,No internet service,0,592.25,44.42,1178.43,630.6,0,95405,0071-NDAFP,Male,25
46,19,6.45,3807,No Churn,No Churn,66,No,San Jose,One year,Yes,Yes,DSL,37.327069,-121.916819,61.6,No,5,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,27023,1,3,0,0,No,No,No,0,161.25,44.9,1727.35,1611.0,1,95126,0074-HDKDG,Male,25
57,21,0.0,3290,No Churn,No Churn,73,No,Tujunga,Month-to-month,Yes,Yes,DSL,34.296574,-118.244839,45.0,No phone service,0,Yes,Yes,Yes,No,Mailed check,No,26753,0,4,0,0,No,No,Yes,0,0.0,12.26,1230.19,1242.45,1,91042,0076-LVEPS,Male,29
19,52,32.36,6322,No Churn,No Churn,76,No,Visalia,Two year,No,Yes,DSL,36.391777,-119.372842,85.15,Yes,5,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,36718,1,3,0,1,Yes,Yes,Yes,0,2329.92,0.0,8646.12,6316.2,1,93291,0078-XZMHT,Male,72
64,12,24.04,4298,No Churn,No Churn,57,No,Lodi,One year,No,No,DSL,38.123544,-121.159078,51.45,No,0,Yes,No,No,No,Credit card (automatic),Yes,45755,0,3,0,0,No,No,No,0,336.56,0.0,1064.41,727.85,1,95240,0080-EMYVY,Female,14
38,2,36.42,3244,No Churn,No Churn,36,No,El Portal,One year,No,Yes,Fiber optic,37.654551,-119.822984,99.25,No,0,No,No,Yes,No,Electronic check,Yes,579,0,3,0,1,Yes,Yes,Yes,0,1274.7,0.0,4806.7,3532.0,1,95318,0080-OROZO,Female,35
54,9,42.95,4427,No Churn,No Churn,57,No,Calistoga,Month-to-month,No,No,DSL,38.629618,-122.593216,44.3,No,0,No,No,Yes,No,Mailed check,Yes,7384,0,5,0,0,No,No,No,0,42.95,0.0,87.25,44.3,1,94515,0082-LDZUE,Male,1
50,17,2.05,4561,No Churn,No Churn,60,No,Farmington,Month-to-month,No,No,Fiber optic,37.956963,-120.863055,94.2,No,0,No,No,Yes,No,Electronic check,Yes,596,0,5,0,1,Yes,Yes,Yes,20,59.45,0.0,2687.05,2607.6,0,95230,0082-OQIQY,Male,29
25,69,5.49,4761,No Churn,No Churn,67,No,Tulelake,One year,No,Yes,DSL,41.813521,-121.492666,81.25,Yes,0,Yes,Yes,No,No,Electronic check,Yes,2595,0,3,0,0,No,Yes,Yes,40,351.36,0.0,5958.91,5567.55,0,96134,0083-PIVIK,Male,64
35,53,24.38,4447,No Churn,No Churn,43,No,Coleville,Month-to-month,Yes,No,Fiber optic,38.42528,-119.475741,99.95,Yes,1,No,No,Yes,Yes,Credit card (automatic),Yes,1332,1,3,0,1,Yes,Yes,Yes,0,950.82,0.0,4718.22,3767.4,1,96107,0089-IIQKO,Female,39
72,23,44.14,5742,No Churn,No Churn,59,No,Ojai,Month-to-month,No,No,Fiber optic,34.581308,-118.931948,91.55,No,0,No,No,Yes,No,Electronic check,Yes,21633,0,3,1,0,Yes,Yes,No,0,1765.6,0.0,5439.2,3673.6,1,93023,0093-EXYQL,Female,40
51,15,37.69,2832,Competitor,Competitor had better devices,93,Yes,Desert Hot Springs,Month-to-month,No,Yes,Fiber optic,33.832799,-116.250973,104.5,Yes,0,Yes,No,Yes,No,Credit card (automatic),Yes,5529,0,1,0,1,Yes,Yes,No,0,1507.6,0.0,5544.45,4036.85,1,92241,0093-XWZFY,Male,40
78,29,11.59,5980,Dissatisfaction,Product dissatisfaction,85,Yes,North Hollywood,Month-to-month,No,No,Fiber optic,34.207295,-118.400022,95.0,No,0,Yes,No,Yes,No,Electronic check,Yes,57146,0,1,1,0,Yes,Yes,No,120,127.49,0.0,1367.79,1120.3,0,91605,0094-OIFMO,Female,11
30,85,42.66,3442,No Churn,No Churn,74,No,Inverness,Month-to-month,No,No,DSL,38.099323,-122.945723,50.35,Yes,10,No,No,No,Yes,Electronic check,Yes,1004,1,3,0,0,No,No,No,0,255.96,0.0,570.51,314.55,1,94937,0096-BXERS,Female,6
58,15,2.64,5039,No Churn,No Churn,48,No,Santa Rosa,Month-to-month,No,No,DSL,38.526941,-122.709096,64.5,Yes,0,No,Yes,Yes,No,Mailed check,Yes,35057,0,3,0,1,Yes,No,No,0,79.2,0.0,1967.65,1888.45,1,95404,0096-FCPUF,Male,30
26,0,20.66,3792,No Churn,No Churn,39,No,San Jose,Month-to-month,No,No internet service,No,37.387027,-121.897775,19.4,No,0,No internet service,No internet service,Yes,No,Electronic check,Yes,26389,0,5,0,0,No internet service,No internet service,No internet service,0,557.82,0.0,1087.62,529.8,0,95131,0098-BOWSO,Male,27
66,28,39.49,5291,No Churn,No Churn,57,No,Wilmington,One year,No,Yes,Fiber optic,33.782068,-118.262263,104.8,Yes,3,Yes,No,Yes,Yes,Electronic check,Yes,53323,1,5,1,0,Yes,Yes,No,0,2764.3,6.11,10067.14,7308.95,1,90744,0100-DUVFC,Male,70
20,73,8.01,6026,No Churn,No Churn,65,No,Modesto,One year,No,Yes,Fiber optic,37.670526,-120.877572,109.4,Yes,10,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,13343,1,5,0,1,Yes,Yes,Yes,0,456.57,0.0,6709.27,6252.7,1,95357,0103-CSITQ,Female,57
61,18,18.37,5232,No Churn,No Churn,30,No,San Diego,One year,No,Yes,DSL,32.697098,-117.116587,50.3,No,10,No,No,No,Yes,Credit card (automatic),Yes,47431,1,5,0,0,No,No,No,0,1065.46,10.23,3933.78,2878.55,1,92113,0104-PPXDV,Male,58
24,48,25.71,3360,No Churn,No Churn,39,No,Rancho Palos Verdes,Month-to-month,No,Yes,DSL,33.753146,-118.367459,71.4,Yes,0,Yes,No,Yes,No,Bank transfer (automatic),Yes,41263,0,5,0,1,Yes,No,No,0,411.36,0.0,1623.46,1212.1,1,90275,0106-GHRQR,Male,16
55,27,38.52,4216,No Churn,No Churn,37,No,Kenwood,Two year,No,Yes,Fiber optic,38.419525,-122.521585,116.0,Yes,3,Yes,Yes,Yes,Yes,Electronic check,Yes,1653,1,3,0,1,Yes,Yes,Yes,0,2657.88,0.0,10840.73,8182.85,1,95452,0106-UGRDO,Female,69
32,0,31.77,3874,Attitude,Attitude of support person,66,Yes,West Point,Month-to-month,No,No internet service,No,38.41935,-120.469545,19.85,No,0,No internet service,No internet service,Yes,No,Electronic check,Yes,2198,0,2,0,0,No internet service,No internet service,No internet service,0,31.77,0.0,51.62,19.85,0,95255,0107-WESLM,Male,1
59,25,40.71,4214,Competitor,Competitor had better devices,93,Yes,Los Angeles,Month-to-month,Yes,Yes,Fiber optic,34.003553,-118.308933,99.75,Yes,0,No,No,Yes,No,Electronic check,Yes,29299,0,1,0,1,Yes,Yes,No,0,40.71,0.0,140.46,99.75,1,90062,0107-YHINA,Male,1
71,23,31.86,2844,No Churn,No Churn,62,No,Morongo Valley,Month-to-month,Yes,No,Fiber optic,34.097863,-116.594561,93.95,No,9,Yes,No,Yes,Yes,Mailed check,Yes,3499,1,5,1,1,Yes,Yes,No,0,1019.52,0.0,3880.97,2861.45,1,92256,0111-KLBQG,Male,32
49,12,48.71,5560,No Churn,No Churn,66,No,Palo Verde,Month-to-month,Yes,Yes,Fiber optic,33.3249,-114.758334,90.8,Yes,8,No,No,Yes,Yes,Bank transfer (automatic),Yes,291,1,3,0,0,No,Yes,No,0,779.36,0.0,2221.56,1442.2,1,92266,0112-QAWRZ,Male,16
61,10,39.55,6452,Competitor,Competitor offered higher download speeds,73,Yes,Valyermo,One year,No,Yes,DSL,34.39583,-117.734568,84.35,Yes,1,No,Yes,No,Yes,Electronic check,Yes,413,1,2,0,1,Yes,Yes,Yes,0,1937.95,0.0,5997.3,4059.35,1,93563,0112-QWPNC,Male,49
40,29,0.0,5224,No Churn,No Churn,76,No,Cambria,Two year,No,Yes,DSL,35.591387,-121.032256,58.25,No phone service,2,Yes,No,No,Yes,Bank transfer (automatic),No,6526,1,5,0,1,Yes,Yes,Yes,0,0.0,0.0,4145.9,4145.9,1,93428,0114-IGABW,Female,71
39,12,49.69,4800,No Churn,No Churn,33,No,Round Mountain,Month-to-month,No,Yes,Fiber optic,40.923558,-122.059933,107.55,Yes,0,Yes,No,No,No,Electronic check,Yes,459,0,3,0,1,Yes,Yes,No,0,1639.77,0.0,5285.27,3645.5,1,96084,0114-PEGZZ,Female,33
21,0,49.6,3831,No Churn,No Churn,54,No,Klamath,Month-to-month,No,No internet service,No,41.572813,-124.035011,19.95,No,9,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,1215,1,4,0,0,No internet service,No internet service,No internet service,0,496.0,0.0,683.75,187.75,0,95548,0114-RSRRW,Female,10
24,59,36.26,4123,Attitude,Attitude of service provider,89,Yes,Fresno,Month-to-month,No,Yes,Fiber optic,36.841655,-119.797113,111.2,Yes,1,Yes,No,Yes,Yes,Electronic check,Yes,3258,1,3,0,1,Yes,Yes,Yes,120,761.46,0.0,3198.56,2317.1,0,93650,0115-TFERT,Male,21
52,23,0.0,3627,Competitor,Competitor offered more data,80,Yes,Angwin,Month-to-month,Yes,Yes,DSL,38.542448,-122.419923,40.2,No phone service,1,Yes,Yes,No,Yes,Bank transfer (automatic),No,3641,1,2,0,0,No,No,No,0,0.0,0.0,1448.8,1448.8,1,94508,0117-LFRMW,Male,37
71,7,33.74,5700,No Churn,No Churn,46,No,Le Grand,Month-to-month,No,No,Fiber optic,37.249377,-120.249581,85.8,No,0,No,Yes,Yes,No,Credit card (automatic),Yes,3256,0,3,1,0,No,Yes,No,0,877.24,0.0,3070.89,2193.65,1,95333,0118-JPNOY,Female,26
45,7,0.0,5052,No Churn,No Churn,36,No,Redway,One year,No,No,DSL,40.142256,-123.852927,35.4,No phone service,0,No,Yes,Yes,No,Mailed check,No,1851,0,3,0,0,No,No,Yes,0,0.0,0.0,1748.9,1748.9,1,95560,0121-SNYRK,Male,50
29,26,28.62,2473,Competitor,Competitor made better offer,67,Yes,San Diego,Month-to-month,No,No,Fiber optic,32.85723,-117.209774,73.85,Yes,0,No,No,Yes,No,Electronic check,Yes,34902,0,3,0,1,No,No,No,0,200.34,13.03,698.56,511.25,1,92122,0122-OAHPZ,Female,7
62,28,47.19,5152,No Churn,No Churn,40,No,Monterey Park,Two year,Yes,Yes,DSL,34.049172,-118.115022,88.1,Yes,1,Yes,Yes,No,Yes,Mailed check,Yes,26933,1,4,0,1,Yes,Yes,Yes,0,2878.59,0.0,8405.34,5526.75,1,91755,0123-CRBRT,Female,61
42,12,45.92,3025,Attitude,Attitude of service provider,91,Yes,Big Oak Flat,Month-to-month,No,Yes,Fiber optic,37.818589,-120.256995,101.35,No,0,No,No,Yes,No,Electronic check,Yes,167,0,2,0,1,Yes,Yes,Yes,0,688.8,0.0,2242.75,1553.95,1,95305,0125-LZQXK,Male,15
51,19,0.0,3287,No Churn,No Churn,45,No,Stevenson Ranch,Month-to-month,Yes,No,DSL,34.364153,-118.615583,45.8,No phone service,0,No,Yes,No,No,Mailed check,No,9937,0,4,0,1,Yes,No,Yes,0,0.0,0.0,1147.0,1147.0,1,91381,0128-MKWSG,Female,26
39,23,33.22,5943,No Churn,No Churn,20,No,North Highlands,Month-to-month,No,Yes,Fiber optic,38.671295,-121.388251,94.65,No,9,No,No,Yes,Yes,Electronic check,Yes,32202,1,3,0,1,Yes,Yes,No,0,2391.84,0.0,9139.19,6747.35,1,95660,0129-KPTWJ,Male,72
64,0,27.4,3093,No Churn,No Churn,59,No,La Puente,One year,Yes,No internet service,No,34.038983,-117.991372,20.5,No,1,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,30802,1,3,0,0,No internet service,No internet service,No internet service,0,1205.6,0.0,2070.65,865.05,0,91746,0129-QMPDR,Male,44
55,8,48.78,4889,No Churn,No Churn,49,No,Glenhaven,Month-to-month,No,No,Fiber optic,39.045246,-122.743181,89.4,Yes,0,Yes,No,No,No,Credit card (automatic),Yes,175,0,3,0,1,Yes,No,No,40,3219.48,36.02,9200.36,5976.9,0,95443,0130-SXOUN,Male,66
40,16,36.81,3529,Competitor,Competitor offered higher download speeds,94,Yes,Alhambra,Month-to-month,No,No,Fiber optic,34.074736,-118.145959,86.25,No,0,Yes,Yes,Yes,No,Electronic check,Yes,30635,0,2,0,0,No,No,Yes,0,73.62,0.0,255.27,181.65,1,91803,0133-BMFZO,Female,2
76,17,7.72,3253,No Churn,No Churn,71,No,Santa Monica,One year,No,Yes,DSL,34.031529,-118.491156,74.85,No,0,No,No,No,No,Bank transfer (automatic),Yes,23559,0,5,1,1,Yes,Yes,Yes,0,339.68,17.91,3589.82,3268.05,1,90403,0134-XWXCE,Female,44
57,6,14.38,5671,Attitude,Attitude of support person,90,Yes,Lodi,Month-to-month,No,No,Fiber optic,38.123544,-121.159078,89.75,Yes,0,Yes,No,Yes,No,Bank transfer (automatic),Yes,45755,0,3,0,0,No,Yes,No,0,172.56,0.0,1224.96,1052.4,1,95240,0135-NMXAP,Female,12
71,17,18.41,4297,No Churn,No Churn,63,No,Los Angeles,Two year,No,Yes,Fiber optic,33.973616,-118.24902,109.95,Yes,1,Yes,No,Yes,Yes,Electronic check,Yes,54492,1,5,1,0,Yes,Yes,Yes,0,1270.29,0.0,8904.54,7634.25,1,90001,0136-IFMYD,Male,69
25,69,1.23,3056,Price,Lack of affordable download/upload speed,90,Yes,Fairfield,Month-to-month,No,No,Fiber optic,38.287136,-122.02711,80.2,Yes,0,Yes,No,Yes,No,Mailed check,Yes,77683,0,3,0,0,No,No,No,0,1.23,0.0,81.43,80.2,1,94533,0137-OCGAB,Female,1
